CCCM IDP Site Code,Region,District,Settlement, HH , Ind ,Latitude,Longitude,Neighbourhood,Neighbourhood Type,Source,IDP Code (REACH DSA4),district_code
CCCM-SO220116-0399,Banadir,Mogadishu Dayniile,Sagaaroole, 48 , 288 ,2.0945734,45.2904989,Bushley,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0400,Banadir,Mogadishu Dayniile,Buulo Barako, 95 , 290 ,2.0729149,45.2535227,Buulo Barwaaqo,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0401,Banadir,Mogadishu Dayniile,Camaara, 250 ," 1,250 ",2.0735104,45.2804437,Buulo Barwaaqo,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0402,Banadir,Mogadishu Dayniile,Qilaafdiid, 178 ," 1,339 ",2.0736833,45.28053,Buulo Barwaaqo,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0403,Banadir,Mogadishu Dayniile,Biriweyne 2, 150 , 750 ,2.0701632,45.282091,Buurdheere,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0404,Banadir,Mogadishu Dayniile,Buurdheero, 120 , 600 ,2.0730803,45.2726235,Buurdheere,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0405,Banadir,Mogadishu Dayniile,Cawaale, 82 , 332 ,2.0750894,45.2735834,Caawale,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0406,Banadir,Mogadishu Dayniile,Eel Bashiir, 110 , 541 ,2.0761692,45.2436276,Caloofi,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0407,Banadir,Mogadishu Dayniile,Torotorow, 130 , 454 ,2.0769232,45.2436111,Caloofi,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0408,Banadir,Mogadishu Dayniile,Ilawadaag, 85 , 317 ,2.0753675,45.2731277,Cawaale,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0409,Banadir,Mogadishu Dayniile,Naxariis, 81 , 323 ,2.0748825,45.2732817,Cawaale,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0410,Banadir,Mogadishu Dayniile,Siinay, 82 , 332 ,2.0746567,45.2742098,Cawaale,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0411,Banadir,Mogadishu Dayniile,Barsan, 75 , 503 ,2.0755425,45.2295821,Cawinta Walalaha,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0412,Banadir,Mogadishu Dayniile,Burgad 2, 50 , 387 ,2.07615,45.2294566,Cawinta Walalaha,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0413,Banadir,Mogadishu Dayniile,Calaf , 120 , 616 ,2.0763338,45.2301338,Cawinta Walalaha,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0414,Banadir,Mogadishu Dayniile,Gurmad, 107 , 535 ,2.0754682,45.2304768,Cawinta Walalaha,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0415,Banadir,Mogadishu Dayniile,Tilka Ayan, 50 , 357 ,2.0751495,45.2305201,Cawinta Walalaha,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0416,Banadir,Mogadishu Dayniile,Himilo, 80 , 179 ,2.09226,45.2907458,Ciid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0417,Banadir,Mogadishu Dayniile,Orjinal, 90 , 360 ,2.0925962,45.2898022,Ciid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0418,Banadir,Mogadishu Dayniile,Abdi Ali, 38 , 235 ,2.0676288,45.2733712,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0419,Banadir,Mogadishu Dayniile,Busley, 32 , 251 ,2.067312,45.2725793,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0420,Banadir,Mogadishu Dayniile,Duaysane, 30 , 165 ,2.0677629,45.27354,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0421,Banadir,Mogadishu Dayniile,Golwayn 2, 61 , 305 ,2.0744844,45.2734689,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0422,Banadir,Mogadishu Dayniile,Golweyn 1, 35 , 194 ,2.0689187,45.2733925,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0423,Banadir,Mogadishu Dayniile,Harqan, 33 , 201 ,2.0680792,45.2718793,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0424,Banadir,Mogadishu Dayniile,Naxariis, 30 , 159 ,2.0677875,45.2725296,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0425,Banadir,Mogadishu Dayniile,Sahal, 31 , 195 ,2.0687345,45.2737877,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0426,Banadir,Mogadishu Dayniile,Salaam, 32 , 239 ,2.0675332,45.2733959,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0427,Banadir,Mogadishu Dayniile,War Asho, 34 , 191 ,2.0680457,45.2723862,Ciiltire,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0428,Banadir,Mogadishu Dayniile,Deeq Alle Star, 85 , 525 ,2.0754138,45.2747311,Cosoble,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0429,Banadir,Mogadishu Dayniile,Dhiblaawe, 70 , 278 ,2.0754635,45.273921,Cosoble,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0430,Banadir,Mogadishu Dayniile,Raamoole, 80 , 285 ,2.0754243,45.2737384,Cosoble,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0431,Banadir,Mogadishu Dayniile,Talaraac , 135 , 809 ,2.0756049,45.2742974,Cosoble,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0432,Banadir,Mogadishu Dayniile,Bilqeyr, 110 , 556 ,2.0674364,45.2621011,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0433,Banadir,Mogadishu Dayniile,Canoole, 60 , 311 ,2.0688098,45.2613039,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0434,Banadir,Mogadishu Dayniile,Hagsoor, 49 , 257 ,2.0676345,45.2623047,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0435,Banadir,Mogadishu Dayniile,Hornimo, 134 , 458 ,2.0697695,45.2616517,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0436,Banadir,Mogadishu Dayniile,Jabuti, 65 , 300 ,2.06755,45.26183,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0437,Banadir,Mogadishu Dayniile,Moorogawaan, 30 , 146 ,2.0685355,45.2610906,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0438,Banadir,Mogadishu Dayniile,Mukale, 65 , 280 ,2.0681616,45.2618946,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0439,Banadir,Mogadishu Dayniile,Ooflawe, 25 , 132 ,2.0682767,45.2626762,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0440,Banadir,Mogadishu Dayniile,Rodo, 23 , 153 ,2.0695813,45.2635431,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0441,Banadir,Mogadishu Dayniile,Xoodey, 32 , 197 ,2.0689197,45.261513,Daaru Salaam,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0442,Banadir,Mogadishu Dayniile,Nuurdiin, 67 , 402 ,2.1002344,45.290234,Dabare,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0443,Banadir,Mogadishu Dayniile,Durdur, 75 , 420 ,2.0706217,45.2819129,Dalmar,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0444,Banadir,Mogadishu Dayniile,Daamasame, 55 , 491 ,2.0756823,45.2556905,Dan Kulan,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0445,Banadir,Mogadishu Dayniile,Idoor, 85 , 271 ,2.0835382,45.2542835,Dan Kulan,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0446,Banadir,Mogadishu Dayniile,Isha Beydhabo, 55 , 285 ,2.0788042,45.2532251,Dan Kulan,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0447,Banadir,Mogadishu Dayniile,Mandeeq, 75 , 327 ,2.0834367,45.2549417,Dan Kulan,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0448,Banadir,Mogadishu Dayniile,Danguud, 49 , 147 ,2.0703051,45.2785563,Danguud,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0449,Banadir,Mogadishu Dayniile,Allasuge, 165 , 990 ,2.0911366,45.2553597,Danwadaag,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0450,Banadir,Mogadishu Dayniile,Nasteexo, 142 , 881 ,2.0911431,45.2558084,Danwadaag,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0451,Banadir,Mogadishu Dayniile,Al Ihsan , 97 , 559 ,2.0697851,45.242427,Daryeel,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0452,Banadir,Mogadishu Dayniile,Banan Yaal, 113 , 656 ,2.0700299,45.2422826,Daryeel,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0453,Banadir,Mogadishu Dayniile,Billan, 85 , 427 ,2.0696812,45.2423281,Daryeel,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0454,Banadir,Mogadishu Dayniile,Daarul Hikma, 150 , 867 ,2.0736637,45.2431209,Daryeel,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0455,Banadir,Mogadishu Dayniile,Idin Alle, 79 , 455 ,2.0695244,45.2427704,Daryeel,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0456,Banadir,Mogadishu Dayniile,Galmudug, 56 , 280 ,2.0957805,45.2895217,Dayax,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0457,Banadir,Mogadishu Dayniile,Al Hudo, 70 , 340 ,2.0977274,45.2909115,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0458,Banadir,Mogadishu Dayniile,Alkheyrat, 51 , 362 ,2.0976724,45.2924439,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0459,Banadir,Mogadishu Dayniile,Dameerale, 45 , 366 ,2.0970882,45.2902832,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0460,Banadir,Mogadishu Dayniile,Iiltire, 50 , 334 ,2.0974329,45.2904577,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0461,Banadir,Mogadishu Dayniile,Nasiib, 40 , 341 ,2.0973873,45.2907681,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0462,Banadir,Mogadishu Dayniile,Ood Wayne, 93 , 794 ,2.0979078,45.2914235,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0463,Banadir,Mogadishu Dayniile,Saabir One, 28 , 155 ,2.0984385,45.2920059,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0464,Banadir,Mogadishu Dayniile,Shaafi, 34 , 126 ,2.098236,45.2920082,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0465,Banadir,Mogadishu Dayniile,Sool, 43 , 364 ,2.0980474,45.2918305,Deegaan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0466,Banadir,Mogadishu Dayniile,Hoodo, 39 , 87 ,2.0971303,45.2916905,Deeq Suge,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0467,Banadir,Mogadishu Dayniile,Garad, 98 , 588 ,2.0757167,45.2677368,Dejiye,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0468,Banadir,Mogadishu Dayniile,Fadhi Wanaag, 42 , 250 ,2.082637,45.2528518,Dhagax Weyn,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0469,Banadir,Mogadishu Dayniile,Istar, 30 , 180 ,2.0824,45.2532495,Dhagax Weyn,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0470,Banadir,Mogadishu Dayniile,Yaaqbariweyne Daadsan , 115 , 400 ,2.0825387,45.2521656,Dhagax Weyn,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0471,Banadir,Mogadishu Dayniile,Dhiblaawe, 65 , 390 ,2.0857463,45.2527647,Dhiblaawe,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0472,Banadir,Mogadishu Dayniile,Digfeer, 95 , 379 ,2.0970536,45.2893256,Doonka,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0473,Banadir,Mogadishu Dayniile,Niil, 85 , 340 ,2.0974115,45.2890565,Doonka,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0474,Banadir,Mogadishu Dayniile,Godimo, 130 , 269 ,2.081852,45.286804,Dooxa,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0475,Banadir,Mogadishu Dayniile,Jeeroow, 120 , 480 ,2.0835096,45.2908419,Dooxa,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0476,Banadir,Mogadishu Dayniile,Shirwac, 150 , 600 ,2.0859809,45.290059,Dooxa,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0477,Banadir,Mogadishu Dayniile,Suuban , 110 , 285 ,2.081586,45.2872845,Dooxa,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0478,Banadir,Mogadishu Dayniile,Yaasiin, 106 , 273 ,2.0816889,45.2870472,Dooxa,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0479,Banadir,Mogadishu Dayniile,Al Musbaah, 50 , 300 ,2.0738266,45.2831445,"Duaa""A",Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0480,Banadir,Mogadishu Dayniile,"Dua""Aa", 60 , 360 ,2.0734795,45.2833469,"Duaa""A",Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0481,Banadir,Mogadishu Dayniile,Sumaayo, 65 , 260 ,2.0735217,45.2827683,"Duaa""A",Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0482,Banadir,Mogadishu Dayniile,Al Xakiim, 70 , 210 ,2.0778728,45.2725327,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0483,Banadir,Mogadishu Dayniile,Caalami, 94 , 376 ,2.0778253,45.2714698,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0484,Banadir,Mogadishu Dayniile,Caano Doon , 82 , 328 ,2.0775918,45.2719929,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0485,Banadir,Mogadishu Dayniile,Ceel Baraf, 72 , 288 ,2.0766007,45.2702731,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0486,Banadir,Mogadishu Dayniile,Ceel Lahelay, 83 , 332 ,2.0773289,45.2709702,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0487,Banadir,Mogadishu Dayniile,Haruur, 69 , 276 ,2.0762583,45.2701829,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0488,Banadir,Mogadishu Dayniile,Murabax, 57 , 228 ,2.0780276,45.2717764,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0489,Banadir,Mogadishu Dayniile,Nusduniyo, 89 , 267 ,2.0768505,45.2709017,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0490,Banadir,Mogadishu Dayniile,Ruumi Good, 68 , 204 ,2.0764397,45.2705322,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0491,Banadir,Mogadishu Dayniile,Xaraga Jecel, 130 , 390 ,2.077306,45.271768,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0492,Banadir,Mogadishu Dayniile,Xijaar, 76 , 304 ,2.0775631,45.2712303,Duco Waalid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0493,Banadir,Mogadishu Dayniile,Caanoole, 31 , 200 ,2.0739169,45.2499156,Dudur,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0494,Banadir,Mogadishu Dayniile,Hareeribool, 83 , 503 ,2.0974111,45.2879967,Dugaal,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0495,Banadir,Mogadishu Dayniile,Garasweyne, 75 , 270 ,2.0716433,45.2322023,Dulmadiid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0496,Banadir,Mogadishu Dayniile,Nasrudiin, 95 , 540 ,2.0715912,45.2326695,Dulmadiid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0497,Banadir,Mogadishu Dayniile,Raas Cade, 31 , 186 ,2.07098,45.2628974,Dulmadiid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0498,Banadir,Mogadishu Dayniile,Shaatalow, 120 , 472 ,2.0711939,45.2330236,Dulmadiid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0499,Banadir,Mogadishu Dayniile,Shabeele, 70 , 263 ,2.0712682,45.2331761,Dulmadiid,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0500,Banadir,Mogadishu Dayniile,Kalsoon, 274 ," 1,637 ",2.0716225,45.258098,Durdur,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0501,Banadir,Mogadishu Dayniile,Sharaf, 125 , 724 ,2.0710909,45.2562725,Durdur,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0502,Banadir,Mogadishu Dayniile,Kunaso, 78 , 322 ,2.0996059,45.2898274,Durduro,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0503,Banadir,Mogadishu Dayniile,Ceel Buur Two, 84 , 243 ,2.0704345,45.2501563,Farey,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0504,Banadir,Mogadishu Dayniile,Farey, 25 , 129 ,2.0713997,45.2506525,Farey,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0505,Banadir,Mogadishu Dayniile,Fatxul Laah, 152 , 903 ,2.0750298,45.2720104,Fatxu Laah,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0506,Banadir,Mogadishu Dayniile,Sumayo, 68 , 408 ,2.0747969,45.2723144,Fatxu Laah,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0507,Banadir,Mogadishu Dayniile,Alla Idan, 85 , 340 ,2.0740167,45.2811,Food Cade,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0508,Banadir,Mogadishu Dayniile,Iqlaas, 108 , 540 ,2.0743728,45.280537,Food Cade,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0509,Banadir,Mogadishu Dayniile,Mire Berde, 95 , 380 ,2.0737618,45.2809229,Food Cade,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0510,Banadir,Mogadishu Dayniile,Gulow, 55 , 220 ,2.0968063,45.2910188,Galcad,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0511,Banadir,Mogadishu Dayniile,Walalaha, 74 , 370 ,2.0970095,45.2916205,Galcad,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0512,Banadir,Mogadishu Dayniile,Walanweyn, 120 , 720 ,2.0964759,45.2916373,Galcad,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0513,Banadir,Mogadishu Dayniile,Busta Dhay, 50 , 175 ,2.0712433,45.2349888,Geedlay,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0514,Banadir,Mogadishu Dayniile,Buxaw, 80 , 400 ,2.0710916,45.2354605,Geedlay,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0515,Banadir,Mogadishu Dayniile,Galdhere, 40 , 110 ,2.0712789,45.2354092,Geedlay,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0516,Banadir,Mogadishu Dayniile,Gurdaley, 60 , 250 ,2.0711257,45.2352072,Geedlay,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0517,Banadir,Mogadishu Dayniile,Maalin, 30 , 165 ,2.0734851,45.2780768,Golwayn,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0518,Banadir,Mogadishu Dayniile,Gurmad, 75 , 300 ,2.0859699,45.2551362,Gorgor,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0519,Banadir,Mogadishu Dayniile,Awaaji, 80 , 480 ,2.0669184,45.2585216,Gunsoor,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0520,Banadir,Mogadishu Dayniile,Ceel Garas, 130 , 650 ,2.0667996,45.2580238,Gunsoor,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0521,Banadir,Mogadishu Dayniile,Daryeel, 70 , 280 ,2.0669736,45.2584425,Gunsoor,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0522,Banadir,Mogadishu Dayniile,Tobaney, 80 , 233 ,2.0669245,45.2585024,Gunsoor,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0523,Banadir,Mogadishu Dayniile,Xabiib, 101 , 328 ,2.0668675,45.2584511,Gunsoor,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0524,Banadir,Mogadishu Dayniile,Xayad, 80 , 380 ,2.0669118,45.2573092,Gunsoor,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0525,Banadir,Mogadishu Dayniile,Dhadhaab, 100 , 449 ,2.0746027,45.2504876,Hagardher,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0526,Banadir,Mogadishu Dayniile,Hagardher, 65 , 310 ,2.0748034,45.2499956,Hagardher,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0527,Banadir,Mogadishu Dayniile,Abiyow, 115 , 675 ,2.0728671,45.2515238,Halgan,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0528,Banadir,Mogadishu Dayniile,Garasiyani, 392 ," 1,730 ",2.0724458,45.2516553,Halgan,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0529,Banadir,Mogadishu Dayniile,Kafiyo, 123 , 667 ,2.0728003,45.252128,Halgan,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0530,Banadir,Mogadishu Dayniile,Abtidoon, 55 , 275 ,2.0967008,45.2889595,Hared,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0531,Banadir,Mogadishu Dayniile,Baqdad, 58 , 232 ,2.0967498,45.2895652,Hared,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0532,Banadir,Mogadishu Dayniile,Guuleed, 65 , 260 ,2.0968909,45.2884898,Hared,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0533,Banadir,Mogadishu Dayniile,Hor Iyo Halaal, 45 , 364 ,2.0971391,45.2879462,Hared,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0534,Banadir,Mogadishu Dayniile,Hidig, 153 , 649 ,2.0717911,45.2325652,Hidig,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0535,Banadir,Mogadishu Dayniile,Sa'Id, 122 , 402 ,2.0711255,45.2327861,Hidig,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0536,Banadir,Mogadishu Dayniile,Salman , 75 , 260 ,2.0714499,45.2320449,Hidig,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0537,Banadir,Mogadishu Dayniile,Maareeye, 78 , 468 ,2.0873079,45.2908355,Hilaac,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0538,Banadir,Mogadishu Dayniile,Maslaxo, 95 , 570 ,2.0874047,45.2909808,Hilaac,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0539,Banadir,Mogadishu Dayniile,Bule Marer, 200 , 561 ,2.0726537,45.2382762,Hilac Wanaag,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0540,Banadir,Mogadishu Dayniile,Doon Burale, 85 , 391 ,2.07272,45.2378517,Hilac Wanaag,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0541,Banadir,Mogadishu Dayniile,Farsoley, 70 , 353 ,2.0730384,45.2372835,Hilac Wanaag,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0542,Banadir,Mogadishu Dayniile,Ray Dabley, 40 , 253 ,2.0733589,45.237832,Hilac Wanaag,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
CCCM-SO220116-0543,Banadir,Mogadishu Dayniile,Hiran Bile, 100 , 400 ,2.0742853,45.2756579,Hiraan Bile,Umbrella,CCCM Site Verification - July 2021,N/A,SOM220103
